Produkttyp Name,Year,Erforderlicher Verkaufspreis
BananaBox,2020,53428
BananaBox,2021,69257.8
BananaBox,2022,70892.5
Bluetooth Banana Phone,2020,138082
Bluetooth Banana Phone,2021,134794
Bluetooth Banana Phone,2022,133551
CheeseStation,2020,518775
CheeseStation,2021,623467
CheeseStation,2022,594917
Electric Toothbrush Karaoke Machine,2020,92242.5
Electric Toothbrush Karaoke Machine,2021,97951.6
Electric Toothbrush Karaoke Machine,2022,88414.8
Quantum Potato Computer,2020,186699
Quantum Potato Computer,2021,188752
Quantum Potato Computer,2022,223203
Robotic Pizza Butler,2020,128277
Robotic Pizza Butler,2021,166044
Robotic Pizza Butler,2022,210562
Selfie Toaster,2020,167941
Selfie Toaster,2021,171088
Selfie Toaster,2022,149681
Solar-Powered Rain Cloud,2020,884622
Solar-Powered Rain Cloud,2021,741422
Solar-Powered Rain Cloud,2022,675418
Virtual Reality Nose Hair Trimmer,2020,180089
Virtual Reality Nose Hair Trimmer,2021,205417
Virtual Reality Nose Hair Trimmer,2022,210070
Wi-Fi Smelly Socks Detector,2020,304679
Wi-Fi Smelly Socks Detector,2021,324923
Wi-Fi Smelly Socks Detector,2022,320016
